protype,protype_text,progroup,progroup_text,proname,date,price_range,avg_price
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกล้วย คละ,2025-04-03,200 - 250,225.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกล้วย คละ,2025-04-04,200 - 250,225.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกระดอง คละ,2025-04-01,280 - 300,290.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกระดอง คละ,2025-04-02,280 - 300,290.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกระดอง คละ,2025-04-03,280 - 300,290.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกระดอง คละ,2025-04-04,280 - 300,290.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยแครง คละ,2025-04-01,180 - 240,210.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยแครง คละ,2025-04-02,180 - 240,210.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยแครง คละ,2025-04-03,180 - 240,210.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยแครง คละ,2025-04-04,180 - 240,210.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยลาย คละ,2025-04-01,80 - 100,90.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยลาย คละ,2025-04-02,80 - 100,90.0
1,ขายปลีก,P12000,สัตว์น้ำ,หอยลาย คละ,2025-04-03,80 - 100,90.0
